	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	max_depth		0.7578305295766359	0.7536842105263158	0.7540896911534004	0.5709731460080778	0.7559622339161335
1	NONE	0.0	max_depth	3	0.8467471791172819	0.7326666666666666	0.7830563467109917	0.7065378352467953	0.8037355393742562
2	NONE	0.0	max_depth	5	0.9065835533328576	0.76459649122807	0.8292295466626017	0.7401682161650842	0.7847607478779626
3	NONE	0.0	max_depth	10	0.8732003226740069	0.7536842105263158	0.8074152210899268	0.6613213044034187	0.7140710311447152
4	NONE	0.0	max_depth	15	0.7889651736324534	0.7536842105263158	0.7693878412111594	0.5959845685656848	0.6823586974072982
5	NONE	0.0	max_depth	20	0.7636403431258094	0.7536842105263158	0.7570294168687124	0.5767651787652064	0.7050878575203676
6	NONE	0.0	max_depth	30	0.7578305295766359	0.7536842105263158	0.7540896911534004	0.5709731460080778	0.7559622339161335
7	UNDER	0.5	max_depth		0.02542281371315806	0.8783508771929824	0.049376192833684995	0.022529382330100534	0.4519881759667719
8	UNDER	0.5	max_depth	3	0.13075018938354832	0.8491578947368422	0.21771967443759851	0.19255844758478707	0.43151202856550286
9	UNDER	0.5	max_depth	5	0.06692485920488571	0.8545263157894738	0.12215922121624198	0.06043006831724525	0.3726617970384919
10	UNDER	0.5	max_depth	10	0.030565695836219136	0.8889122807017543	0.059045609796803525	0.028892689187545402	0.45964219256655897
11	UNDER	0.5	max_depth	15	0.02542281371315806	0.8783508771929824	0.049376192833684995	0.022529382330100534	0.4519881759667719
12	UNDER	0.5	max_depth	20	0.02542281371315806	0.8783508771929824	0.049376192833684995	0.022529382330100534	0.4519881759667719
13	UNDER	0.5	max_depth	30	0.02542281371315806	0.8783508771929824	0.049376192833684995	0.022529382330100534	0.4519881759667719
14	UNDER	1.0	max_depth		0.01549623806686514	0.9020350877192982	0.030463783714846444	0.014113313893599608	0.4588471678714939
15	UNDER	1.0	max_depth	3	0.05639338770351825	0.870280701754386	0.10479052275897142	0.08404371337481817	0.30214773261776195
16	UNDER	1.0	max_depth	5	0.023275251565414316	0.8967368421052632	0.04533969315135889	0.032756884319332547	0.37360196841829907
17	UNDER	1.0	max_depth	10	0.016226290219311667	0.9020350877192982	0.03186392156047056	0.014799582528226723	0.45901308868129964
18	UNDER	1.0	max_depth	15	0.01549623806686514	0.9020350877192982	0.030463783714846444	0.014113313893599608	0.4588471678714939
19	UNDER	1.0	max_depth	20	0.01549623806686514	0.9020350877192982	0.030463783714846444	0.014113313893599608	0.4588471678714939
20	UNDER	1.0	max_depth	30	0.01549623806686514	0.9020350877192982	0.030463783714846444	0.014113313893599608	0.4588471678714939
21	OVER	0.5	max_depth		0.39425252889528	0.7777894736842106	0.5217308143745125	0.30667497822651785	0.5862060396191134
22	OVER	0.5	max_depth	3	0.24056783956704847	0.8331578947368421	0.33590714426608526	0.5212316189589222	0.6740222799204703
23	OVER	0.5	max_depth	5	0.09859276279095226	0.8465263157894738	0.1745779832653617	0.5616024221115248	0.691598621401508
24	OVER	0.5	max_depth	10	0.1433282292636031	0.8385263157894738	0.2441838542311122	0.5004989808310175	0.27644261845517004
25	OVER	0.5	max_depth	15	0.25956549544144536	0.8095438596491228	0.3922686544556513	0.34124701441313693	0.20974928407627563
26	OVER	0.5	max_depth	20	0.3182139475303042	0.7883859649122809	0.4515756479710803	0.281695157544094	0.3097148958973245
27	OVER	0.5	max_depth	30	0.3799348672666854	0.7777894736842106	0.5084187376200949	0.30998113937075816	0.5856439815243715
28	OVER	1.0	max_depth		0.388434318206639	0.7565964912280702	0.512792640748357	0.29512341840803613	0.5727180657447579
29	OVER	1.0	max_depth	3	0.042453393254630524	0.8941403508771929	0.08080604429138692	0.29550207149586444	0.5622763333180443
30	OVER	1.0	max_depth	5	0.050418864690281985	0.8729473684210527	0.09439652463396178	0.44850260249044516	0.5525555812394327
31	OVER	1.0	max_depth	10	0.11238386042803875	0.843859649122807	0.19806788348895807	0.4655293856136309	0.2686293526286052
32	OVER	1.0	max_depth	15	0.22697270812215115	0.8042807017543859	0.35390529562344053	0.3615085544488191	0.21418585501682794
33	OVER	1.0	max_depth	20	0.28846443128749943	0.7911228070175438	0.4217390998065829	0.3292694146032452	0.2223997718954815
34	OVER	1.0	max_depth	30	0.34364067679515226	0.756561403508772	0.4713416553854498	0.29907395175828627	0.5549090370904071
35	NONE	0.0	class_weight		0.7578305295766359	0.7536842105263158	0.7540896911534004	0.5709731460080778	0.7559622339161335
36	NONE	0.0	class_weight	balanced	0.7558000194250194	0.7091228070175439	0.7307670587160915	0.5420549994225896	0.7327037253192639
