	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	n_estimators	50	0.038605670632875184	0.8691666666666666	0.07388461375521418	0.000909356154919989	0.0008466427484862384
1	NONE	0.0	n_estimators	100	0.03961616935459668	0.8558333333333333	0.07569859498025197	0.0009124928396691412	0.000848571652992306
2	NONE	0.0	n_estimators	200	0.03955172471436717	0.8691666666666666	0.07562706184346889	0.0009146024122365787	0.0008509388539037988
3	NONE	0.0	n_estimators	300	0.03997636877885276	0.8691666666666666	0.07640896931778493	0.0009135631183395179	0.0008504082532220915
4	UNDER	0.5	n_estimators	50	0.053167486930702744	0.3291666666666667	0.09000080667853119	0.0009486949337536678	0.0008735573892584673
5	UNDER	0.5	n_estimators	100	0.04772640908155953	0.29000000000000004	0.08029227259504253	0.0009610370106780999	0.0008815872980975475
6	UNDER	0.5	n_estimators	200	0.03943326611209578	0.27666666666666667	0.06809355470951421	0.0009731763576747732	0.0008899332671924304
7	UNDER	0.5	n_estimators	300	0.03986493419925711	0.27666666666666667	0.06886037156055265	0.0009735243983943293	0.0008901579952848168
8	UNDER	1.0	n_estimators	50	0.043647471477027446	0.30250000000000005	0.07551901156909893	0.0010398832298287419	0.0009269238768190597
9	UNDER	1.0	n_estimators	100	0.04084764719066633	0.2633333333333333	0.07007966682620297	0.000983644192567081	0.0009033432436073359
10	UNDER	1.0	n_estimators	200	0.032296641961537656	0.2633333333333333	0.05720954374629104	0.0009982670165642224	0.0009152961238516266
11	UNDER	1.0	n_estimators	300	0.03446790880870014	0.2633333333333333	0.06056905938010922	0.0009955556116315843	0.0009158688831850011
12	OVER	0.5	n_estimators	50	0.03389611133876295	0.34249999999999997	0.0615704032167149	0.000977193476460611	0.0008917385610062535
13	OVER	0.5	n_estimators	100	0.033654876443330484	0.35583333333333333	0.06137516753789979	0.0009514606574337712	0.0008791068173712282
14	OVER	0.5	n_estimators	200	0.03225729624309874	0.35583333333333333	0.059110331011151394	0.0009512963362204117	0.0008800968140645338
15	OVER	0.5	n_estimators	300	0.033543596097083475	0.35583333333333333	0.06125874154279307	0.0009594199625411415	0.0008843101330115345
16	OVER	1.0	n_estimators	50	0.034162251686239604	0.35583333333333333	0.06223472210783868	0.0009776627930471638	0.0008992019260104032
17	OVER	1.0	n_estimators	100	0.03011053655416428	0.3291666666666667	0.05507251686827781	0.0010043757624884565	0.0009179844587513498
18	OVER	1.0	n_estimators	200	0.028799708567772798	0.34249999999999997	0.05307233118388068	0.0010687450025857346	0.000949202826149322
19	OVER	1.0	n_estimators	300	0.028029415112677203	0.3291666666666667	0.05158458776651742	0.0010275662844608717	0.0009298402870268708
20	NONE	0.0	max_samples	auto	0.03961616935459668	0.8558333333333333	0.07569859498025197	0.0009124928396691412	0.000848571652992306
21	NONE	0.0	max_samples	128	0.02714779311582117	0.8691666666666666	0.05264332523130394	0.000914195264340854	0.0008502904996478853
22	NONE	0.0	max_samples	256	0.03961616935459668	0.8558333333333333	0.07569859498025197	0.0009124928396691412	0.000848571652992306
23	NONE	0.0	max_samples	512	0.05262144279851405	0.8041666666666666	0.098702849288517	0.0009467900133508821	0.0008663122747784941
24	UNDER	0.5	max_samples	auto	0.04772640908155953	0.29000000000000004	0.08029227259504253	0.0009610370106780999	0.0008815872980975475
25	UNDER	0.5	max_samples	128	0.044898287947779905	0.3166666666666667	0.07806850435923303	0.0010155412587127724	0.0009098550081466448
26	UNDER	0.5	max_samples	256	0.04772640908155953	0.29000000000000004	0.08029227259504253	0.0009610370106780999	0.0008815872980975475
27	UNDER	0.5	max_samples	512	0.04772640908155953	0.29000000000000004	0.08029227259504253	0.0009610370106780999	0.0008815872980975475
28	UNDER	1.0	max_samples	auto	0.04084764719066633	0.2633333333333333	0.07007966682620297	0.000983644192567081	0.0009033432436073359
29	UNDER	1.0	max_samples	128	0.04084764719066633	0.2633333333333333	0.07007966682620297	0.000983644192567081	0.0009033432436073359
30	UNDER	1.0	max_samples	256	0.04084764719066633	0.2633333333333333	0.07007966682620297	0.000983644192567081	0.0009033432436073359
31	UNDER	1.0	max_samples	512	0.04084764719066633	0.2633333333333333	0.07007966682620297	0.000983644192567081	0.0009033432436073359
32	OVER	0.5	max_samples	auto	0.033654876443330484	0.35583333333333333	0.06137516753789979	0.0009514606574337712	0.0008791068173712282
33	OVER	0.5	max_samples	128	0.029165123187774193	0.3433333333333334	0.05370836885534262	0.0009530748957695942	0.000878867351513079
34	OVER	0.5	max_samples	256	0.033654876443330484	0.35583333333333333	0.06137516753789979	0.0009514606574337712	0.0008791068173712282
35	OVER	0.5	max_samples	512	0.03349389793351937	0.30250000000000005	0.06012565604513463	0.0009507632304242006	0.0008778690545085861
36	OVER	1.0	max_samples	auto	0.03011053655416428	0.3291666666666667	0.05507251686827781	0.0010043757624884565	0.0009179844587513498
37	OVER	1.0	max_samples	128	0.02680749399459531	0.3158333333333333	0.049246722879750945	0.0010732296406746303	0.0009478085060190972
38	OVER	1.0	max_samples	256	0.03011053655416428	0.3291666666666667	0.05507251686827781	0.0010043757624884565	0.0009179844587513498
39	OVER	1.0	max_samples	512	0.031119034040083322	0.3158333333333333	0.056507350917885515	0.0009722746623749545	0.0008949262957355921
40	NONE	0.0	contamination	0.0001	0.3	0.04	0.07058823529411765	0.0009124928396691412	0.000848571652992306
41	NONE	0.0	contamination	0.001	0.36170940170940175	0.22333333333333333	0.2701164021164021	0.0009124928396691412	0.000848571652992306
42	NONE	0.0	contamination	0.005	0.13522578719286868	0.39416666666666667	0.20067589018056858	0.0009124928396691412	0.000848571652992306
43	NONE	0.0	contamination	0.01	0.09626982838374255	0.5941666666666666	0.16554270472617744	0.0009124928396691412	0.000848571652992306
44	UNDER	0.5	contamination	0.0001	0.0	0.0	0.0	0.0009610370106780999	0.0008815872980975475
45	UNDER	0.5	contamination	0.001	0.0	0.0	0.0	0.0009610370106780999	0.0008815872980975475
46	UNDER	0.5	contamination	0.005	0.26666666666666666	0.026666666666666665	0.04722222222222222	0.0009610370106780999	0.0008815872980975475
47	UNDER	0.5	contamination	0.01	0.09047619047619046	0.04	0.05541125541125541	0.0009610370106780999	0.0008815872980975475
