	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	n_estimators	50	0.0331947576596438	0.838561403508772	0.06385114298427877	0.0008546986020711384	0.0008418863993011861
1	NONE	0.0	n_estimators	100	0.03577031567634499	0.8359298245614035	0.06859045508510232	0.0008545036772364858	0.0008419809356634472
2	NONE	0.0	n_estimators	200	0.03536289339780568	0.8226666666666667	0.0677931591919484	0.0008552970885026343	0.0008428824019796682
3	NONE	0.0	n_estimators	300	0.036282388125700955	0.8227368421052631	0.06949143442462599	0.0008552300072751989	0.00084281709892379
4	UNDER	0.5	n_estimators	50	0.03824286485000194	0.25677192982456143	0.06650813555018535	0.000879824319756883	0.0008656030028791319
5	UNDER	0.5	n_estimators	100	0.04050256329597938	0.2408771929824561	0.06922884412870382	0.0008794229459959696	0.0008654893387508805
6	UNDER	0.5	n_estimators	200	0.03794361106434195	0.24350877192982456	0.06562011258527141	0.0008809676372283247	0.00086704420207028
7	UNDER	0.5	n_estimators	300	0.03884836073935735	0.24084210526315789	0.06686793784207881	0.0008804970301742925	0.0008667215325553398
8	UNDER	1.0	n_estimators	50	0.03688511834651378	0.23294736842105265	0.0634590153052775	0.0008969366291032798	0.0008826998514389027
9	UNDER	1.0	n_estimators	100	0.03984931839646079	0.22505263157894734	0.06752829957028852	0.0009009434061134615	0.0008863827155260214
10	UNDER	1.0	n_estimators	200	0.03699872843237495	0.22238596491228071	0.0633659403323589	0.000901422620706915	0.0008867076794089603
11	UNDER	1.0	n_estimators	300	0.03814710996627212	0.21975438596491226	0.06493743049425886	0.0009040843774524094	0.000889387181442688
12	OVER	0.5	n_estimators	50	0.0356817676192518	0.30943859649122807	0.0639016849593345	0.0008794871539834171	0.0008660217967115791
13	OVER	0.5	n_estimators	100	0.03662975907721293	0.27782456140350875	0.06463612025514488	0.0008811047767087006	0.000867381787984594
14	OVER	0.5	n_estimators	200	0.03342900373418923	0.2672280701754386	0.059380101675532745	0.0008818663428066566	0.0008680837113890137
15	OVER	0.5	n_estimators	300	0.03352984202491681	0.2725614035087719	0.059665528527449704	0.0008809600466287992	0.0008671071318407638
16	OVER	1.0	n_estimators	50	0.028202939106467772	0.24877192982456142	0.05063576678450475	0.0009126320813294751	0.0008966812149372135
17	OVER	1.0	n_estimators	100	0.03156786675851739	0.24614035087719296	0.05586847431812085	0.0009056002383652079	0.0008906032044902658
18	OVER	1.0	n_estimators	200	0.028937375235786673	0.24347368421052634	0.05167827758337695	0.0009055377412025261	0.0008907837601325611
19	OVER	1.0	n_estimators	300	0.02967427524422036	0.24610526315789474	0.052909896793640124	0.0009046446355977083	0.0008899851257545118
20	NONE	0.0	max_samples	auto	0.03577031567634499	0.8359298245614035	0.06859045508510232	0.0008545036772364858	0.0008419809356634472
21	NONE	0.0	max_samples	128	0.02711894764654334	0.8491929824561403	0.05255296632824045	0.0008550737405514403	0.0008425635253080035
22	NONE	0.0	max_samples	256	0.03577031567634499	0.8359298245614035	0.06859045508510232	0.0008545036772364858	0.0008419809356634472
23	NONE	0.0	max_samples	512	0.04854554597842472	0.7961403508771929	0.09146913393366611	0.0008540827419247176	0.0008417476485987329
24	UNDER	0.5	max_samples	auto	0.04050256329597938	0.2408771929824561	0.06922884412870382	0.0008794229459959696	0.0008654893387508805
25	UNDER	0.5	max_samples	128	0.0352763024829516	0.28052631578947373	0.06263367471904971	0.0008785993261635078	0.0008647715725797625
26	UNDER	0.5	max_samples	256	0.04050256329597938	0.2408771929824561	0.06922884412870382	0.0008794229459959696	0.0008654893387508805
27	UNDER	0.5	max_samples	512	0.04672850713788703	0.2276842105263158	0.07742971328718486	0.0008803848384584909	0.0008668874403186642
28	UNDER	1.0	max_samples	auto	0.03984931839646079	0.22505263157894734	0.06752829957028852	0.0009009434061134615	0.0008863827155260214
29	UNDER	1.0	max_samples	128	0.03642735604480137	0.24617543859649121	0.06343654266000472	0.0009048176160112028	0.0008855505175519843
30	UNDER	1.0	max_samples	256	0.03984931839646079	0.22505263157894734	0.06752829957028852	0.0009009434061134615	0.0008863827155260214
31	UNDER	1.0	max_samples	512	0.04071526227042281	0.18803508771929825	0.06672611066564889	0.0009000534641686352	0.0008855149861926764
32	OVER	0.5	max_samples	auto	0.03662975907721293	0.27782456140350875	0.06463612025514488	0.0008811047767087006	0.000867381787984594
33	OVER	0.5	max_samples	128	0.037344327762007634	0.36782456140350883	0.06774304140191455	0.0008775685594637499	0.0008640314457727426
34	OVER	0.5	max_samples	256	0.03662975907721293	0.27782456140350875	0.06463612025514488	0.0008811047767087006	0.000867381787984594
35	OVER	0.5	max_samples	512	0.03808765165503024	0.2514385964912281	0.06609184641484364	0.0008771630062099179	0.000862798516503001
36	OVER	1.0	max_samples	auto	0.03156786675851739	0.24614035087719296	0.05586847431812085	0.0009056002383652079	0.0008906032044902658
37	OVER	1.0	max_samples	128	0.03022286794692835	0.2593684210526316	0.054122209125081956	0.0009073201483658661	0.0008914088257061852
38	OVER	1.0	max_samples	256	0.03156786675851739	0.24614035087719296	0.05586847431812085	0.0009056002383652079	0.0008906032044902658
39	OVER	1.0	max_samples	512	0.03220106127010164	0.23554385964912283	0.056608583742064164	0.0009018065010725111	0.0008865766798764945
40	NONE	0.0	contamination	0.0001	0.12301587301587302	0.010596491228070177	0.019343086632243257	0.0008545036772364858	0.0008419809356634472
41	NONE	0.0	contamination	0.001	0.34620209620858294	0.2092280701754386	0.26057575425853924	0.0008545036772364858	0.0008419809356634472
42	NONE	0.0	contamination	0.005	0.15612227053807246	0.4630175438596491	0.2333692348800176	0.0008545036772364858	0.0008419809356634472
43	NONE	0.0	contamination	0.01	0.10467675032231198	0.6164561403508773	0.1788793827396777	0.0008545036772364858	0.0008419809356634472
44	UNDER	0.5	contamination	0.0001	0.2	0.002666666666666667	0.005263157894736842	0.0008794229459959696	0.0008654893387508805
45	UNDER	0.5	contamination	0.001	0.2	0.002666666666666667	0.005263157894736842	0.0008794229459959696	0.0008654893387508805
46	UNDER	0.5	contamination	0.005	0.11523809523809522	0.013228070175438597	0.023396024396617105	0.0008794229459959696	0.0008654893387508805
47	UNDER	0.5	contamination	0.01	0.10252458652458651	0.026456140350877188	0.041446792800025785	0.0008794229459959696	0.0008654893387508805
48	UNDER	1.0	contamination	0.0001	0.2	0.002666666666666667	0.005263157894736842	0.0009009434061134615	0.0008863827155260214
49	UNDER	1.0	contamination	0.001	0.4	0.0052982456140350884	0.010457963089542038	0.0009009434061134615	0.0008863827155260214
50	UNDER	1.0	contamination	0.005	0.10389610389610389	0.013228070175438597	0.02322501941123658	0.0009009434061134615	0.0008863827155260214
51	UNDER	1.0	contamination	0.01	0.07143892339544514	0.01856140350877193	0.02928780743066457	0.0009009434061134615	0.0008863827155260214
52	OVER	0.5	contamination	0.0001	0.0	0.0	0.0	0.0008811047767087006	0.000867381787984594
53	OVER	0.5	contamination	0.001	0.4	0.0052982456140350884	0.010457963089542038	0.0008811047767087006	0.000867381787984594
54	OVER	0.5	contamination	0.005	0.13130718954248366	0.01856140350877193	0.03214157549226727	0.0008811047767087006	0.000867381787984594
55	OVER	0.5	contamination	0.01	0.09231159521482102	0.039719298245614036	0.055317597141388085	0.0008811047767087006	0.000867381787984594
56	OVER	1.0	contamination	0.0001	0.0	0.0	0.0	0.0009056002383652079	0.0008906032044902658
57	OVER	1.0	contamination	0.001	0.4	0.0052982456140350884	0.010457963089542038	0.0009056002383652079	0.0008906032044902658
58	OVER	1.0	contamination	0.005	0.101991341991342	0.013228070175438597	0.023125144255181647	0.0009056002383652079	0.0008906032044902658
59	OVER	1.0	contamination	0.01	0.06445767195767196	0.02382456140350877	0.034482408104699123	0.0009056002383652079	0.0008906032044902658
