	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	n_neighbors	5.0	0.002171121504375214	0.09166666666666666	0.004241633170899278	0.002853984592197835	0.002354592629078853
1	NONE	0.0	n_neighbors	10.0	0.0028090000699375803	0.09083333333333334	0.0054492523324178475	0.0016553464975036021	0.0014854758037140983
2	NONE	0.0	n_neighbors	20.0	0.00874552626019361	0.23666666666666666	0.01686507423504142	0.001429053023197106	0.0012798842650263878
3	NONE	0.0	n_neighbors	35.0	0.020715304905254868	0.5133333333333334	0.039814366136153946	0.0009956232891245426	0.0009206429529000443
4	NONE	0.0	n_neighbors	50.0	0.030795665192387224	0.7516666666666667	0.059156789339534485	0.0009070699420119155	0.0008471627225285171
5	UNDER	0.5	n_neighbors	5.0	0.0041535042528920655	0.20999999999999996	0.008139356364519582	0.03133195830460151	0.029759533365995443
6	UNDER	0.5	n_neighbors	10.0	0.0031886937647794622	0.15583333333333332	0.006248378227315458	0.0023723588065656482	0.0019851016123819615
7	UNDER	0.5	n_neighbors	20.0	0.0070950153878327465	0.355	0.01391114861425648	0.0016181067352761072	0.0014303670802623006
8	UNDER	0.5	n_neighbors	35.0	0.01185296022147373	0.5516666666666666	0.023206280070723194	0.001002089349901645	0.0009266293506130331
9	UNDER	0.5	n_neighbors	50.0	0.021379719715451904	0.8808333333333334	0.04174339023143397	0.0009617192018050429	0.0008870690325424294
10	UNDER	1.0	n_neighbors	5.0	0.0038191874682117093	0.20999999999999996	0.007500045937938774	0.04301954503294604	0.04238087854970463
11	UNDER	1.0	n_neighbors	10.0	0.0027593593558266354	0.1433333333333333	0.005413988264667983	0.0022031078799228817	0.001850330429619753
12	UNDER	1.0	n_neighbors	20.0	0.007138164352734957	0.3158333333333333	0.01395935872089873	0.0015142629377797904	0.0013228602676891802
13	UNDER	1.0	n_neighbors	35.0	0.010891200034407475	0.3666666666666667	0.021150538574347073	0.00097164586961496	0.0009029090341955883
14	UNDER	1.0	n_neighbors	50.0	0.025282211700497065	0.6441666666666667	0.04864681020582841	0.0009646412607181642	0.0008844529012970786
15	OVER	0.5	n_neighbors	5.0	0.017944627383863376	0.8158333333333333	0.035115344872262054	0.0009972282191254784	0.0008969934863801525
16	OVER	0.5	n_neighbors	10.0	0.02174290527264678	0.8025	0.0423375878957188	0.0009470788674391068	0.0008700955645056359
17	OVER	0.5	n_neighbors	20.0	0.025647653866839665	0.8425	0.049778300818649465	0.0009449378602305753	0.0008664280717826129
18	OVER	0.5	n_neighbors	35.0	0.026281206522465538	0.8291666666666666	0.050937972065876434	0.0009414421104059947	0.0008656008688853253
19	OVER	0.5	n_neighbors	50.0	0.026400451707187383	0.8416666666666666	0.051188502890885966	0.0009336064798413467	0.000861313936431344
20	OVER	1.0	n_neighbors	5.0	0.0179292298438086	0.8158333333333333	0.035085858266637446	0.000946224917479673	0.0008708043924605865
21	OVER	1.0	n_neighbors	10.0	0.022242869319480503	0.8283333333333334	0.043321065300802396	0.0009818342674986426	0.0008853353815106837
22	OVER	1.0	n_neighbors	20.0	0.025122321595788928	0.8550000000000001	0.048808725089111715	0.000946686180013534	0.0008659161745189912
23	OVER	1.0	n_neighbors	35.0	0.025129818716518044	0.8425	0.04879606904337654	0.0009595781489597575	0.0008737187878930588
24	OVER	1.0	n_neighbors	50.0	0.024925337723693326	0.8425	0.04841072607112619	0.0009493656595856968	0.0008694035354916701
25	NONE	0.0	contamination	0.0001	0.1	0.013333333333333332	0.023529411764705882	0.001429053023197106	0.0012798842650263878
26	NONE	0.0	contamination	0.001	0.02222222222222222	0.013333333333333332	0.016666666666666666	0.001429053023197106	0.0012798842650263878
27	NONE	0.0	contamination	0.005	0.017482967763376538	0.05249999999999999	0.02585995085995086	0.001429053023197106	0.0012798842650263878
28	NONE	0.0	contamination	0.01	0.019503236102289517	0.11833333333333333	0.03339937331448434	0.001429053023197106	0.0012798842650263878
29	UNDER	0.5	contamination	0.0001	0.004301075268817204	0.026666666666666665	0.007407407407407407	0.0016181067352761072	0.0014303670802623006
30	UNDER	0.5	contamination	0.001	0.00404040404040404	0.026666666666666665	0.007017543859649122	0.0016181067352761072	0.0014303670802623006
31	UNDER	0.5	contamination	0.005	0.0023952095808383233	0.026666666666666665	0.004395604395604396	0.0016181067352761072	0.0014303670802623006
32	UNDER	0.5	contamination	0.01	0.004526854219948849	0.03916666666666667	0.007980496542116524	0.0016181067352761072	0.0014303670802623006
33	UNDER	1.0	contamination	0.0001	0.005970149253731343	0.026666666666666665	0.00975609756097561	0.001535460498367227	0.0013228264057713087
34	UNDER	1.0	contamination	0.001	0.005063291139240506	0.026666666666666665	0.00851063829787234	0.001535460498367227	0.0013228264057713087
35	UNDER	1.0	contamination	0.005	0.0032	0.026666666666666665	0.005714285714285714	0.0015142629377797904	0.0013228602676891802
36	UNDER	1.0	contamination	0.01	0.0016326530612244899	0.026666666666666665	0.003076923076923077	0.0015142629377797904	0.0013228602676891802
37	OVER	0.5	contamination	0.0001	0.5	0.05333333333333333	0.09558823529411764	0.0009449378602305753	0.0008664280717826129
38	OVER	0.5	contamination	0.001	0.3500356506238859	0.3025	0.3230562030562031	0.0009449378602305753	0.0008664280717826129
39	OVER	0.5	contamination	0.005	0.19793843106501235	0.6325	0.3012191292986379	0.0009449378602305753	0.0008664280717826129
40	OVER	0.5	contamination	0.01	0.13036165921330148	0.75	0.22161770694585772	0.0009449378602305753	0.0008664280717826129
41	OVER	1.0	contamination	0.0001	0.5666666666666667	0.10499999999999998	0.17301095876947267	0.000946686180013534	0.0008659161745189912
42	OVER	1.0	contamination	0.001	0.3106684981684982	0.44666666666666666	0.36351118066302956	0.000946686180013534	0.0008659161745189912
43	OVER	1.0	contamination	0.005	0.1626982468361779	0.7625	0.26743137123511035	0.000946686180013534	0.0008659161745189912
44	OVER	1.0	contamination	0.01	0.10189887749236062	0.7758333333333333	0.17992086722546796	0.000946686180013534	0.0008659161745189912
