	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	n_neighbors	5.0	0.0026146293988426796	0.10582456140350875	0.005103131643151347	0.0018237766351014415	0.0017220958476113477
1	NONE	0.0	n_neighbors	10.0	0.0029135155782628	0.09522807017543859	0.005653916660690676	0.0020805436584857857	0.001887565737510568
2	NONE	0.0	n_neighbors	20.0	0.0036141417621350044	0.10582456140350875	0.00698939095939608	0.0019786069035008713	0.001897258289501301
3	NONE	0.0	n_neighbors	35.0	0.004616988015989455	0.12691228070175437	0.008909829852249722	0.0018013277801816278	0.0017537878771719552
4	NONE	0.0	n_neighbors	50.0	0.0043748065040665795	0.11368421052631579	0.008425365902610947	0.0015839631667931512	0.0015441982481920842
5	UNDER	0.5	n_neighbors	5.0	0.0017495057763061504	0.06347368421052632	0.0034000040778645003	0.00211013262674995	0.0020029660795448387
6	UNDER	0.5	n_neighbors	10.0	0.002133177936384116	0.07147368421052631	0.00414059616706482	0.010355157252511515	0.00798549500665329
7	UNDER	0.5	n_neighbors	20.0	0.0026552495670466468	0.09526315789473684	0.005164811723040276	0.004132167573023914	0.0034141662784182335
8	UNDER	0.5	n_neighbors	35.0	0.0021451544169157244	0.08199999999999999	0.004180276003803325	0.001986324051041917	0.001927611627449226
9	UNDER	0.5	n_neighbors	50.0	0.0025185109549616027	0.10571929824561402	0.004919307655844566	0.0017326131336526849	0.0016816988658323948
10	UNDER	1.0	n_neighbors	5.0	0.0018039078041210042	0.06610526315789474	0.0035104601010169574	0.0022489144942371346	0.0020987116406842123
11	UNDER	1.0	n_neighbors	10.0	0.002273886878748235	0.07936842105263157	0.004420017145308468	0.013083360736741942	0.012272235376942924
12	UNDER	1.0	n_neighbors	20.0	0.0024821167598453606	0.09266666666666665	0.004834372852911294	0.0025267029050106914	0.002338251241018733
