	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	kernel	linear	0.001440353750202375	0.43633333333333335	0.002871226658095174	0.005976955025039369	0.004855807652157701
1	NONE	0.0	kernel	rbf	0.0031975563758856857	0.968	0.006374050406381629	0.0008898894655500065	0.0008460407436117537
2	UNDER	0.5	kernel	linear	0.00021362155089265627	0.09666666666666666	0.00042630035675792264	0.03286204026922916	0.0300459571937913
3	UNDER	0.5	kernel	rbf	0.0043173738814890564	0.8709999999999999	0.008591792912408093	0.009929552340160328	0.009665894518214205
4	UNDER	1.0	kernel	linear	0.0002513526339793179	0.1366666666666667	0.0005017818336704138	0.0671697089997631	0.06224089035286325
5	UNDER	1.0	kernel	rbf	0.003241934633874407	0.6856666666666668	0.006453036121283345	0.09073145876426769	0.08339467172832452
6	OVER	0.5	kernel	linear	0.00018532780437835822	0.08066666666666666	0.0003698056433439981	0.07047240825796315	0.0644927347996127
7	OVER	0.5	kernel	rbf	0.004347385591912309	0.8956666666666667	0.008652758379224048	0.009944619254430343	0.00967527531714828
8	OVER	1.0	kernel	linear	0.00018991876100219994	0.10466666666666669	0.00037914942552387244	0.02938112874503886	0.027211541276588876
9	OVER	1.0	kernel	rbf	0.00339933184096554	0.75	0.006767969562934578	0.06024460151035066	0.059470847370384404
10	NONE	0.0	nu	0.01	0.0794571440152663	0.6946666666666668	0.1425565746585726	0.0009560412575141522	0.000888872177236473
11	NONE	0.0	nu	0.05	0.02860631123729605	0.8716666666666667	0.055393770787798134	0.0009644990455820913	0.0008918587684883331
12	NONE	0.0	nu	0.1	0.014734001932905322	0.8956666666666667	0.028990971254668263	0.00096740211180161	0.0008909084528665543
13	NONE	0.0	nu	0.2	0.007659342424843283	0.9276666666666668	0.015193213589539262	0.0009377111363083543	0.0008713413477409249
14	UNDER	0.5	nu	0.01	0.004034138726268158	0.4746666666666666	0.00797947707182984	0.017930305791135772	0.013596331998829652
15	UNDER	0.5	nu	0.05	0.010188216778116882	0.29166666666666663	0.01957871641990479	0.04271530707095091	0.03347074395124255
