	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
0	NONE	0.0	n_estimators	50	0.9495443814448361	0.7750526315789473	0.8506621775454061	0.8271274445339574	0.8367773998481274
1	NONE	0.0	n_estimators	100	0.9422644145160304	0.7750877192982456	0.8481388477659302	0.8344351493425048	0.8401574108790457
2	NONE	0.0	n_estimators	200	0.9393462103855494	0.7750877192982456	0.8472669052648196	0.8385087904363342	0.8422702979513235
3	NONE	0.0	n_estimators	300	0.9342821659884478	0.777719298245614	0.8463762466442197	0.8395916523857594	0.8420992286050499
4	UNDER	0.5	n_estimators	50	0.15622993265748708	0.8730175438596491	0.2629242024520197	0.7513596801447706	0.7860150952554359
5	UNDER	0.5	n_estimators	100	0.155395693789053	0.8730175438596491	0.2617651033927288	0.7576093295091306	0.7858187148892135
6	UNDER	0.5	n_estimators	200	0.15640547727441306	0.878280701754386	0.2639032409011969	0.7537180002983794	0.7795501978837723
7	UNDER	0.5	n_estimators	300	0.1551898832893682	0.8756491228070175	0.2619101462876425	0.7534428187566394	0.7760065582341885
8	UNDER	1.0	n_estimators	50	0.06656179408862861	0.8941754385964913	0.12367341865608479	0.7330762036772547	0.7738601163346546
9	UNDER	1.0	n_estimators	100	0.06639492810266248	0.8915438596491227	0.12348163789490316	0.755802329314893	0.7836194245093375
10	UNDER	1.0	n_estimators	200	0.06838138266333274	0.8967719298245613	0.1269569293061681	0.7567876646267717	0.7810344308218438
11	UNDER	1.0	n_estimators	300	0.06949994711530072	0.8994385964912279	0.12895073518737207	0.7537549746678918	0.7770123668413682
12	OVER	0.5	n_estimators	50	0.890194483014563	0.8148070175438595	0.8492585141740132	0.8284251866595165	0.8394415554102169
13	OVER	0.5	n_estimators	100	0.8936156696121197	0.8200701754385966	0.853619012735854	0.8419895347429452	0.8466711058924543
14	OVER	0.5	n_estimators	200	0.9011114652573463	0.8253684210526316	0.8603936249107267	0.8421614805972146	0.8452485665794223
15	OVER	0.5	n_estimators	300	0.9060545717127477	0.8200701754385966	0.8594474216292601	0.8457782284000525	0.8471726920954893
16	OVER	1.0	n_estimators	50	0.8960484373082925	0.8227368421052631	0.8563171552529655	0.8233812511934191	0.8350730962627695
17	OVER	1.0	n_estimators	100	0.9013416516642323	0.8227368421052631	0.858777915361852	0.8312676031646614	0.8380719266958602
18	OVER	1.0	n_estimators	200	0.9034654377880184	0.8227368421052631	0.8598631423886449	0.8431807585199985	0.8454309454784406
19	OVER	1.0	n_estimators	300	0.9061155413076871	0.8227368421052631	0.8610891960284917	0.844211393083438	0.8459196287713077
20	NONE	0.0	max_features	sqrt	0.9422644145160304	0.7750877192982456	0.8481388477659302	0.8344351493425048	0.8401574108790457
21	NONE	0.0	max_features	log2	0.9417115564174388	0.764561403508772	0.8416970903861045	0.8361686101626272	0.8425534513184569
22	NONE	0.0	max_features	0.3	0.9373743847821613	0.7882807017543859	0.8547226124124243	0.8345517799354996	0.8402899841813902
23	NONE	0.0	max_features	0.5	0.9322088874852323	0.7962105263157895	0.8576676226451339	0.8356203037735972	0.8422665480857969
24	NONE	0.0	max_features		0.9377644430407879	0.7962456140350876	0.8602699867722151	0.8265955567308751	0.8361364407033607
25	UNDER	0.5	max_features	sqrt	0.155395693789053	0.8730175438596491	0.2617651033927288	0.7576093295091306	0.7858187148892135
26	UNDER	0.5	max_features	log2	0.16065268566162957	0.8756491228070175	0.26958250955322105	0.7511326051478215	0.7785077498520554
27	UNDER	0.5	max_features	0.3	0.13746495299828093	0.880982456140351	0.2361266226663224	0.7601045050244242	0.7912531394167223
28	UNDER	0.5	max_features	0.5	0.11284215314211284	0.8809473684210527	0.19931534134917847	0.7455631573451134	0.7841439275395825
29	UNDER	0.5	max_features		0.09757733264750579	0.8783157894736842	0.17547925183378463	0.6528844090935002	0.7305552967508039
30	UNDER	1.0	max_features	sqrt	0.06639492810266248	0.8915438596491227	0.12348163789490316	0.755802329314893	0.7836194245093375
31	UNDER	1.0	max_features	log2	0.06767545955553646	0.8968070175438596	0.12584478064604449	0.7532386218798095	0.7811411612672082
32	UNDER	1.0	max_features	0.3	0.057352628636197854	0.9020701754385965	0.10780124676321041	0.7474209017902002	0.7842251542328372
33	UNDER	1.0	max_features	0.5	0.04898358738473185	0.9099999999999999	0.09291445909691377	0.7234151309054696	0.7666850963305103
34	UNDER	1.0	max_features		0.04455104636042053	0.9099999999999999	0.08493284432909635	0.6243656031377709	0.7070264824187887
35	OVER	0.5	max_features	sqrt	0.8936156696121197	0.8200701754385966	0.853619012735854	0.8419895347429452	0.8466711058924543
